Course ID,Course Name,Unit,Level,Avg Star,Review Number,Result
Data Analysis with R Programming,Data Analysis with R Programming,Google,,4.8,9675,"Describe the R programming language and its programming environment.
Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.
Describe the options for generating visualizations in R.
Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content."
Tableau Business Intelligence Analyst Professional Certificate,Tableau Business Intelligence Analyst Professional Certificate,Tableau Learning Partner,,4.7,347,"Gain the essential skills necessary to excel in an entry-level Business Intelligence Analytics role.
Learn to use Tableau Public to manipulate and prepare data for analysis.
Craft and dissect data visualizations that reveal patterns and drive actionable insights.
Construct captivating narratives through data, enabling stakeholders to explore insights effectively."
Business Analytics Specialization,Business Analytics Specialization,University of Pennsylvania,,4.6,16287,"Explain how data is used for recruiting and performance evaluation
Model supply and demand for various business scenarios
Solve business problems with data-driven decision-making
Understand the tools used to predict customer behavior"
Statistics with Python Specialization,Statistics with Python Specialization,University of Michigan,,4.6,2785,"Create and interpret data visualizations using the Python programming language and associated packages & libraries
Apply and interpret inferential procedures when analyzing real data
Apply statistical modeling techniques to data (ie. linear and logistic regression, linear models, multilevel models, Bayesian inference techniques)
Understand importance of connecting research questions to data analysis methods."
Data Visualization with Tableau Specialization,Data Visualization with Tableau Specialization,"University of California, Davis",,4.5,7090,"Examine, navigate, and learn to use the various features of Tableau
 Assess the quality of the data and perform exploratory analysis
Create and design visualizations and dashboards for your intended audience
 Combine the data to and follow the best practices to present your story"
Deep Learning Specialization,Deep Learning Specialization,DeepLearning.AI,,4.9,133175,"Build and train deep neural networks, identify key architecture parameters, implement vectorized neural networks and deep learning to applications
Train test sets, analyze variance for DL applications, use standard techniques and optimization algorithms, and build neural networks in TensorFlow
Build a CNN and apply it to detection and recognition tasks, use neural style transfer to generate art, and apply algorithms to image and video data
Build and train RNNs, work with NLP and Word Embeddings, and use HuggingFace tokenizers and transformer models to perform NER and Question Answering"
IBM AI Engineering Professional Certificate,IBM AI Engineering Professional Certificate,IBM,,4.5,6105,"Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction 
Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn 
Deploy machine learning algorithms and pipelines on Apache Spark 
Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow "
Statistics for Data Science with Python,Statistics for Data Science with Python,IBM,,4.5,370,"Write Python code to conduct various statistical tests including a T test, an ANOVA, and regression analysis. 
Interpret the results of your statistical analysis after conducting hypothesis testing. 
Calculate descriptive statistics and visualization by writing Python code. 
Create a final project that demonstrates your understanding of various statistical test using Python and evaluate your peer's projects. "
IBM Data Analytics with Excel and R Professional Certificate,IBM Data Analytics with Excel and R Professional Certificate,IBM,,4.7,2021,"Master the most up-to-date practical skills and knowledge data analysts use in their daily roles
Learn how to perform data analysis, including data preparation, statistical analysis, and predictive modeling using R, R Studio, and Jupyter
Utilize Excel spreadsheets to perform a variety of data analysis tasks like data wrangling, using pivot tables, data mining, & creating charts
Communicate your data findings using various data visualization techniques including, charts, plots & interactive dashboards with Cognos and R Shiny"
Vital Skills for Data Science Specialization,Vital Skills for Data Science Specialization,University of Colorado Boulder,,4.5,52,"Identify applications of Data Science.
Identify the steps of the Data Science process and apply them with real world data.
Discuss privacy concerns."
Advanced Data Science Capstone,Advanced Data Science Capstone,IBM,,4.6,388,"IBM
Advanced Machine Learning and Signal Processing
Course
IBM
Fundamentals of Scalable Data Science
Course
IBM
Applied AI with DeepLearning
Course
IBM
Advanced Data Science with IBM
Specialization"
SAS Statistical Business Analyst Professional Certificate,SAS Statistical Business Analyst Professional Certificate,SAS,,4.7,133,"Perform ANOVA, Regression, and logistic regression analysis with one or many inputs
Prepare inputs for predictive models
Train, validate, and evaluate statistical models"
Applied Data Science with R Specialization,Applied Data Science with R Specialization,IBM,,4.5,132,"Perform basic R programming tasks like working with data structures, data manipulation, using APIs, webscraping, and using R Studio and Jupyter.
Create relational databases and tables, load them with data from CSV files, and query data using SQL and R using JupyterLab.
Complete the data analysis process, including data preparation,
statistical analysis, and predictive modeling.
Communicate data analysis findings with data visualization charts, plots, and dashboards using libraries such as ggplot, leaflet and R Shiny."
Data Science in Real Life,Data Science in Real Life,Johns Hopkins University,,4.5,2353,"Identify strengths and weaknesses in experimental designs
Learn novel solutions for managing data pulls
Describe common pitfalls in communicating data analyses
Understand a typical day in the life of a data analysis manager"
Generative AI: Prompt Engineering Basics,Generative AI: Prompt Engineering Basics,IBM,,4.7,308,"Explain the concept and relevance of prompt engineering in generative AI models.
Apply best practices for creating prompts and explore examples of impactful prompts.
Practice common prompt engineering techniques and approaches for writing effective prompts.
Explore commonly used tools for prompt engineering to aid with prompt engineering. "
Data Science Methods for Quality Improvement Specialization,Data Science Methods for Quality Improvement Specialization,University of Colorado Boulder,,4.8,13,"Manage, describe, and analyze data using applied statistics
Apply continuous and/or discrete data methods for process analysis, improvement, and ongoing management in a business or workplace
Analyze measurement systems to ensure their stability and capability"
IBM Machine Learning Professional Certificate,IBM Machine Learning Professional Certificate,IBM,,4.6,1588,"Master the most up-to-date practical skills and knowledge machine learning experts use in their daily roles
Learn how to compare and contrast different machine learning algorithms by creating recommender systems in Python 
Develop working knowledge of KNN, PCA, and non-negative matrix collaborative filtering
Predict course ratings by training a neural network and constructing regression and classification models"
The Path to Insights: Data Models and Pipelines,The Path to Insights: Data Models and Pipelines,Google,,4.7,398,"Build data models that answer business questions 
Apply the ETL process to workplace scenarios
Explore ETL tools
Construct a pipeline to deliver necessary data"
SAS Programmer Professional Certificate,SAS Programmer Professional Certificate,SAS,,4.8,2974,"Understand and use the fundamentals of the SAS programming language
Access different types of data (SAS, Excel, or text),      then explore and prepare the data 
Analyze and report on data and export results to common      formats (HTML, PDF, Excel)       
Apply SAS programming principles in practical examples"
Data Analysis with R Specialization,Data Analysis with R Specialization,Duke University,,4.7,5821,"Analyze and visualize data
Perform hypothesis tests, interpret statistical results (e.g., p-values), and report the results of your analysis to clients
Fit, examine, and utilize regression models to examine relationships between multiple variables
Install and use R and RStudio"
Go Beyond the Numbers: Translate Data into Insights,Go Beyond the Numbers: Translate Data into Insights,Google,,4.8,505,"Apply the exploratory data analysis (EDA) process
Explore the benefits of structuring and cleaning data
Investigate raw data using Python
Create data visualizations using Tableau "
Applied Data Science for Data Analysts,Applied Data Science for Data Analysts,Databricks,,4.4,50,"Explore data using unsupervised machine learning. 
Solve complex supervised learning problems using tree-based models.
Apply hyperparameter tuning and cross-validation strategies to improve model performance."
Bayesian Statistics Specialization,Bayesian Statistics Specialization,"University of California, Santa Cruz",,4.6,287,"Bayesian Inference
Time Series Forecasting
Hierarchical Modeling"
Data Analysis Using Python,Data Analysis Using Python,University of Pennsylvania,,4.5,381,"Apply basic data science techniques using Python
Understand and apply core concepts like Data Frames and joining data, and use data analysis libraries like pandas, numpy, and matplotlib
Demonstrate how to load, inspect, and query real-world data, and answer basic questions about that data
Analyze data further by applying learned skills in data aggregation and summarization, as well as basic data visualization"
Expressway to Data Science: Python Programming Specialization,Expressway to Data Science: Python Programming Specialization,University of Colorado Boulder,,4.7,126,"Fundamentals of Python Programming
Data Manipulation Packages such as Numpy and Pandas
Data Visualization Packages such as Matplotlib and Seaborn"
Building a Data Science Team,Building a Data Science Team,Johns Hopkins University,,4.5,3276,"Describe the various roles that make up a Data Science team
Manage a Data Science team onboarding
Know relevant questions for interviewing data scientists
Understand how to encourage and empower Data Science teams"
Expressway to Data Science: R Programming and Tidyverse Specialization,Expressway to Data Science: R Programming and Tidyverse Specialization,University of Colorado Boulder,,4.2,28,"Install R and configure RStudio
Use the tidyverse to import, tidy, and join data
Create clear and effective data visualizations using the ggplot2 library
Develop and communicate reproducible research using RMarkdown"
Generative AI: Elevate Your Data Science Career,Generative AI: Elevate Your Data Science Career,IBM,,4.7,27," Leverage generative AI tools, like GPT 3.5, ChatCSV, and tomat.ai, available to Data Scientists for querying and preparing data  
Examine real-world scenarios where generative AI can enhance data science workflows
Practice generative AI skills in hand-on labs and projects by generating and augmenting datasets for specific use cases
Apply generative AI techniques in the development and refinement of machine learning models"
Supervised Machine Learning: Regression and Classification,Supervised Machine Learning: Regression and Classification,DeepLearning.AI,,4.9,19023,"Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn
Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression"
Python for Data Science,Python for Data Science,Fractal Analytics,,4.5,26,"Explain the significance of Python in data science and its real-world applications.
Apply Python to manipulate and analyze diverse data sources, using Pandas and relevant data types
Create informative data visualizations and draw insights from data distributions and feature relationships
Develop a comprehensive data preparation workflow for machine learning, including data rescaling and feature engineering"
Generative AI Fundamentals Specialization,Generative AI Fundamentals Specialization,IBM,,4.7,297,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.
Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.
Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.
Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace."
Statistical Modeling for Data Science Applications Specialization,Statistical Modeling for Data Science Applications Specialization,University of Colorado Boulder,,4.2,29,"Correctly analyze and apply tools of regression analysis to model relationship between variables and make predictions given a set of input variables.
Successfully conduct experiments based on best practices in experimental design.
Use advanced statistical modeling techniques, such as generalized linear and additive models, to model wide range of real-world relationships."
Get Started with Python,Get Started with Python,Google,,4.8,970,"Explain how Python is used by data professionals 
Explore basic Python building blocks, including syntax and semantics
Understand loops, control statements, and string manipulation
Use data structures to store and organize data "
Machine Learning: Theory and Hands-on Practice with Python Specialization,Machine Learning: Theory and Hands-on Practice with Python Specialization,University of Colorado Boulder,,3.7,44,"Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  
Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.
Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.
Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization."
SAS Visual Business Analytics Professional Certificate,SAS Visual Business Analytics Professional Certificate,SAS,,4.7,941,"How to explore data using SAS Visual Analytics
How to create interactive reports using SAS Visual Analytics
How to prepare data using SAS Data Studio"
Google Advanced Data Analytics Capstone,Google Advanced Data Analytics Capstone,Google,,4.9,573,"Examine data to identify patterns and trends 
Build models using machine learning techniques 
Create data visualizations 
Explore career resources "
Deep Neural Networks with PyTorch,Deep Neural Networks with PyTorch,IBM,,4.4,1594,"Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. 
Explain and apply knowledge of Deep Neural Networks and related machine learning methods.
Describe how to use Python libraries such as PyTorch for Deep Learning applications.
Build Deep Neural Networks using PyTorch."
MLOps | Machine Learning Operations Specialization,MLOps | Machine Learning Operations Specialization,Duke University,,3.9,130,"Master Python fundamentals, MLOps principles, and data management to build and deploy ML models in production environments.
Utilize Amazon Sagemaker / AWS, Azure, MLflow, and Hugging Face for end-to-end ML solutions, pipeline creation, and API development.
Fine-tune and deploy Large Language Models (LLMs) and containerized models using the ONNX format with Hugging Face.
Design a full MLOps pipeline with MLflow, managing projects, models, and tracking system features."
Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Codio,,3.6,22,"Be familiar with data science libraries in Python and R. 
Data transformation and normalization in Python and R.
Create graph and charts using Python and R."
"Foundations: Data, Data, Everywhere","Foundations: Data, Data, Everywhere",Google,,4.8,100078,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.
Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.
Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.
Describe the role of a data analyst with specific reference to jobs."
The Data Scientist’s Toolbox,The Data Scientist’s Toolbox,Johns Hopkins University,,4.6,33850,"Set up R, R-Studio, Github and other useful tools
Understand the data, problems, and tools that data analysts use
Explain essential study design concepts
Create a Github repository"
"DevOps, DataOps, MLOps","DevOps, DataOps, MLOps",Duke University,,3.8,58,"Build operations pipelines using DevOps, DataOps, and MLOps
Explain the principles and practices of MLOps (i.e., data management, model training and development, continuous integration and delivery, etc.)
Build and deploy machine learning models in a production environment using MLOps tools and platforms."
Machine Learning on Google Cloud Specialization,Machine Learning on Google Cloud Specialization,Google Cloud,,4.6,8461,"Use Vertex AI AutoML and BigQuery ML to build, train, and deploy ML models
Implement machine learning models using Keras and TensorFlow 2.x
Implement machine learning in the enterprise best practices
Describe how to perform exploratory data analysis and improve data quality"
Data Visualization and Communication with Tableau,Data Visualization and Communication with Tableau,Duke University,,4.7,3188,"Board Infinity
Data Visualization with Tableau
Course
Duke University
Excel to MySQL: Analytic Techniques for Business
Specialization
Duke University
Managing Big Data with MySQL
Course
Tableau Learning Partner
Data Visualization with Tableau
Course"
Leverage Data Science for a More Agile Supply Chain Specialization,Leverage Data Science for a More Agile Supply Chain Specialization,"University of California, Irvine",,4.5,192,"Analyze historical data to determine inventory levels in steady and uncertain demand situations using Excel.
Set up and solve optimization problems in Excel.
Build a demand and inventory snapshot and run a Monte Carlo simulation to solve for a more agile supply chain."
Neuroscience and Neuroimaging Specialization,Neuroscience and Neuroimaging Specialization,Johns Hopkins University,,4.7,918,"Learn about fMRI data design, structure and acquisition.
Familiarize yourself with fMRI Artifacts and types of noise.
Learn how to read/write images of the brain in NIfTI format.
Learn about Magnetic Resonance Spectroscopy."
Data Science with R - Capstone Project,Data Science with R - Capstone Project,IBM,,4.5,64,"Write a web scraping program to extract data from an HTML file using HTTP requests and convert the data to a data frame.
Prepare data for modelling by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.
Interpret datawithexploratory data analysis techniques by calculating descriptive statistics, graphing data, and generating correlation statistics.
Build a Shiny app containing a Leaflet map and an interactive dashboard then create a presentation on the project to share with your peers."
"Decisions, Decisions: Dashboards and Reports","Decisions, Decisions: Dashboards and Reports",Google,,4.8,576,"Design BI visualizations
Practice using BI reporting and dashboard tools
Create presentations to share key BI insights with stakeholders
Develop professional materials for your job search"
Data-driven Decision Making,Data-driven Decision Making,PwC,,4.6,6036,"PwC
Problem Solving with Excel
Course
PwC
Data Analysis and Presentation Skills: the PwC Approach
Specialization
PwC
Data Visualization with Advanced Excel
Course
PwC
Effective Business Presentations with Powerpoint
Course"
Statistical Inference for Estimation in Data Science,Statistical Inference for Estimation in Data Science,University of Colorado Boulder,,4.0,63,"Identify characteristics of “good” estimators and be able to compare competing estimators.
Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.
Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance."
Use Tableau for Your Data Science Workflow Specialization,Use Tableau for Your Data Science Workflow Specialization,"University of California, Irvine",,4.0,17,"Explain fundamental concepts behind visualizations.
Setup and perform data analysis using industry-standard models.
Create a Tableau dashboard implementing major tasks of analytics deployment: define business goals, prepare data, select, model, and present results."
Understanding and Visualizing Data with Python,Understanding and Visualizing Data with Python,University of Michigan,,4.7,2595,"Properly identify various data types and understand the different uses for each  
Create data visualizations and numerical summaries with Python
Communicate statistical ideas clearly and concisely to a broad audience
Identify appropriate analytic techniques for probability and non-probability samples"
Python Data Products for Predictive Analytics Specialization,Python Data Products for Predictive Analytics Specialization,University of California San Diego,,4.1,167,"Discover how to transform data and make it suitable for data-driven predictive tasks 
Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more
Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems
Perform simple regressions and classifications on datasets using machine learning libraries "
Applied Machine Learning in Python,Applied Machine Learning in Python,University of Michigan,,4.6,8469,"Describe how machine learning is different than descriptive statistics
Create and evaluate data clusters
Explain different approaches for creating predictive models
Build features that meet analysis needs"
R Programming,R Programming,Johns Hopkins University,,4.5,22196,"Understand critical programming language concepts
Configure statistical programming software
Make use of R loop functions and debugging tools
Collect detailed information using R profiler"
Generative AI for Data Analysts Specialization,Generative AI for Data Analysts Specialization,IBM,,4.8,39,"Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools.
Gain knowledge of generative AI prompt engineering concepts, examples, common tools and techniques needed to create effective, impactful prompts.
Identify appropriate generative AI tools for data analytics.
Examine real-world applications where generative AI can enhance data analytics workflows."
Python Packages for Data Science,Python Packages for Data Science,University of Colorado Boulder,,4.5,36,"By successfully completing this course, you will be able to use Python pacakges developed for data science.
You will learn how to use Numpy and Pandas to manipulate data.
You will learn how to use Matplotlib and Seaborn to develop data visualizations."
Statistical Inference and Hypothesis Testing in Data Science Applications,Statistical Inference and Hypothesis Testing in Data Science Applications,University of Colorado Boulder,,4.7,38,"Define a composite hypothesis and the level of significance for a test with a composite null hypothesis.
Define a test statistic, level of significance, and the rejection region for a hypothesis test. Give the form of a rejection region.
Perform tests concerning a true population variance.
Compute the sampling distributions for the sample mean and sample minimum of the exponential distribution."
Machine Learning and Reinforcement Learning in Finance Specialization,Machine Learning and Reinforcement Learning in Finance Specialization,New York University,,3.7,745,"Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  
Describe linear regression and classification models and methods of their evaluation  
Explain how Reinforcement Learning is used for stock trading  
Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  "
