,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
10,"Python for Data Science, AI & Development by IBM",Steve O,"Oct 31, 2018","The IBM cloud ""service"" leaves much to be desired. Multiple times I've experienced outages while I was in the middle of lab assignments. It's a paid course where they give you ""free"" credits to do the course work in their cloud ""service."" But the credits are inadequate for the labs and they constantly ask for your credit card to buy more ""service."" While the class is okay I wouldn't recommend it to anyone because of the poor IBM cloud support.",1
11,"Python for Data Science, AI & Development by IBM",Het P,"Feb 18, 2019","Time waster, doesn't go in depth, the total video content is of less then 2 hours. The quizzes and assignments are too easy.
I recommend Lynda or youtube(derekbanas/thenewboston/CoreySchafer/telusko) or anything but not this course.
Really disappointed.",1
12,"Python for Data Science, AI & Development by IBM",Jason U,"Nov 15, 2018",The final project at week 5 needs to be completely revamped.  Poor learning experience...absolutely ridiculous and is creating tremendous frustration amongst all students.,1
13,"Python for Data Science, AI & Development by IBM",Michael R,"Aug 31, 2018","No support from moderators, plenty of typos.",1
14,"Python for Data Science, AI & Development by IBM",Muhammad U A,"May 17, 2020","The syllabus of the course takes you in a roller-coaster ride.
From basic level to advance level and you won't feel any trouble nor hesitate a bit.
It's easy, it's vast, and it's really usefull.",5
15,"Python for Data Science, AI & Development by IBM",Farzaneh G,"Jan 7, 2019","It was basic Python. You need this to be able to use Python for data science, however the name of the course could have been Python 101.",4
16,"Python for Data Science, AI & Development by IBM",Vigneshwaran P,"Mar 2, 2019","Need detailed explanation for the topics, course need to be rephrased accordingly.",1
17,"Python for Data Science, AI & Development by IBM",Thabo M,"Nov 18, 2019","it becomes easier wand clearer when one gets to complete the assignments as to how to utilize what has been learned. Practical work is a great way to learn, which was a fundamental part of the course.",5
18,"Python for Data Science, AI & Development by IBM",Semant J P,"May 6, 2019","Overall, the course lectures are highly condensed and fly by very quickly. I'm familiar with Python but I still had to go back and review them a few times. Would prefer the video materials to be reviewed more slowly and deliberately.
The final project is a mess. The instructions don't direct to the correct notebook (U.S. GDP data) and that link has to be found from the forums. I could never figure out how to get the JSON credential data of my IBM Watson ""bucket"", so, my ""dashboard"" never got generated for my project. After spending several hours on this, as I had scored 100% in the rest of the course, I decided I was going to lose just a few points for this, so, in the interest of time, just moved on. ",3
19,"Python for Data Science, AI & Development by IBM",Sujai C,"Apr 19, 2019",The programming assignment had errors and it took a long time to figure out  (e.g. wrong endpoint was specified).  I ended up having to waste a lot of time on this.,2
20,"Python for Data Science, AI & Development by IBM",Fredrik R,"Mar 18, 2019",Seems to teach fundamentals but the final graded assignment had very little to do with what was taught,2
21,"Python for Data Science, AI & Development by IBM",Arjan Z,"May 23, 2019","the final assignment was extremely poorly set-up. Instructions were full of gaps, omissions, spelling mistakes. Looked like it was written by a deep-expert who assumed a lot of knowledge that you do not have at this entry level and that was nowhere made explicit. I spend many hours on a number of evenings figuring what was meant. If this lead to constructive learning, I'd be OK with it. But now it was just a long egg-hunt to figure out how I was to post something using idiosyncratic IBM infrastructure which taught me little about Python. Was this course even test driven?",1
22,"Python for Data Science, AI & Development by IBM",Simon O,"Apr 20, 2019",Final test needs to be actually tested by instructors. Has a few bugs in it. You would learn more about python reading a book. ,1
23,"Python for Data Science, AI & Development by IBM",ruhul a,"Mar 27, 2020","Python is just what is in trend and not because of its usability, but it is just anybody can use with wide use case in each and every domain. A good start for someone looking for a start with Python   ",5
24,"Python for Data Science, AI & Development by IBM",Pranay C,"May 27, 2019","Very good course for people who do not know Python. It just starts with the basic and focuses on data structures which is essential for Data Science. Does not teach you any unessential Python syntax which will not be useful in this specialization course. If you know any programming language, you will get it (because Python is easier and simpler than the language you know :)",5
25,"Python for Data Science, AI & Development by IBM",Jason C,"May 9, 2019","The final assignment changed during the course from fake album cover to economic data analysis and dashboarding.
The code provided in the work book was incomplete and not sufficient to generate the dashboard in the note book.
Instructions were not sufficiently clear to help the students figure out how to create a url link to their dashboard.",5
26,"Python for Data Science, AI & Development by IBM",Jakub M,"Feb 14, 2020","I am sorry but this is simply terrible.
I thought that Data Camp courses could use some work but after this mess - I am gladly returning to them. Save yourself some money and buy a decent book or watch videos on YouTube.
My complaints:
1) The final assignment doesn't load - I would probably force myself to finish this whole certificate, but I am not able to load the final assignment. Many other people have the same issue. What the hell is this?
2) Videos are very low quality - badly edited PowerPoint presentations read by a robot lady voice. No good examples, no engaging elements.
3) Quizzes are a joke - I can bet anyone 5$ that you will be able to pass most of them without watching a single video.
4) IBM tools overall - you use Jupyter notebooks here through some IBM site. Terribly complicated to set up, loads a while, and notebooks are not very high quality (compared for example with Data Camp). Why not encourage the user to download some Python IDE on their desktop and write the code by themselves?
Lesson learned: choose universities, not companies on Coursera. Not taking further courses in this certificate. Spend this money on a book, do some simple projects and put them on a GitHub account - this will be worth 10x more as this joke of a certificate. 
(First course is worth taking for sure - enjoyable, high quality)",1
27,"Python for Data Science, AI & Development by IBM",Keynon K,"Mar 9, 2021","The course goes from informational video, to a lab explaining the exact same information as the video, then an impossible exercise within the lab comprised of information that was not covered in any of the previous sections, and then a quiz containing material covered.
With the current flow of the course one is able to retain the theories discussed but absolutely cannot generate the code from scratch if asked to.
I have completed the entire Introduction to Data Science Specialization, which did a terrific job of compounding information on top of each other, building up to the final assessment that you've now been prepared for. I was extremely disappointed that this course was not as well put as the first program. I am now skeptical about the remaining courses in the Certification programs I plan on pursuing.",2
28,"Python for Data Science, AI & Development by IBM",Patrick P,"Jan 28, 2019",Looks like it was made by an intern.  Unclear instructions and terrible video quality.,1
29,"Python for Data Science, AI & Development by IBM",Sukanto M,"Feb 27, 2019",Good course but final assignment is very poorly designed in terms of instructions.,4
30,"Python for Data Science, AI & Development by IBM",Rebecca H,"Mar 1, 2021","Quite honestly, I am frustrated with this course. The material was generally good, but the content often had typos, odd phrasing, etc. which just made it more challenging on top of learning this new language. I also found the course exercises (particularly weeks 3 & 4) were not at the ""beginner"" level--I was able to pass quizzes and and do the assignments just fine, but the exercises would always come out of left field, pulling from concepts I hadn't yet learned. I ended up doing a lot of researching outside of the course content on my own, which I'm not opposed to, but that is certainly not how they marketed it and made me feel like there was something wrong with the way I was learning, when it was really the way that they were teaching the material. I was grateful for the course discussion board, where a lot of people expressed similar frustrations and it made me realize I am not alone in this and often gave me good resources to review.  ",2
31,"Python for Data Science, AI & Development by IBM",R D,"Mar 22, 2023","I recently completed this Python training course hoping to gain a strong foundation in Python coding as needed for the IBM Data Science certificate. Unfortunately, I was disappointed with the quality of the course and found myself having to rely on other resources in order to understand the concepts, pass the course and gain credit.
The main issue I encountered was the poor quality of the instruction videos, which are crudely produced (think awful PowerPoint graphics) and lacked sufficient explanations, in fact, the labs just duplicate the videos but have slightly better explanations. The poor video quality made it difficult to understand what was being said, and the videos did not cover all the necessary aspects of Python coding, leaving me feeling ill-prepared to apply the concepts in real-world situations.
Overall, I would not recommend this Python training course to anyone who is new to Python coding and seeking a comprehensive understanding of the language. The course was not worth the charges and I was left feeling disappointed.
In summary, I would advise those seeking to understand Python coding to look elsewhere for a more thorough and well-executed course. 
  ",1
32,"Python for Data Science, AI & Development by IBM",Troy L,"Mar 31, 2019","The lessons are very concise, the most fundamental concepts are taught appropriately, and beginners can learn quick. The exercises are not too hard to make you lose interest, and not too easy that they become boring. I was totally immersed in the course so I found this greater than any physical classroom lessons. 6 STARS! ",5
33,"Python for Data Science, AI & Development by IBM",EE-043-Arpita M,"Sep 25, 2022",it becomes easier wand clearer when one gets to complete the assignment as to how to utilize what has been learned practical work is a great way to lerarn which was a fundamental part of the course.,5
34,"Python for Data Science, AI & Development by IBM",Prannoy J,"Dec 1, 2020",It is a good course and teaches with the basic of  Python so that anyone can understand it very well. Videos are good and can easily be understandable to anyone who is new to Python and Data Science. ,5
35,"Python for Data Science, AI & Development by IBM",Thanh N N,"Mar 2, 2019",Excellent outline. This course performs fabulous way for beginner can achieve the python language effortlessly.,5
36,"Python for Data Science, AI & Development by IBM",JAMES C,"Mar 31, 2019","Very high level overview of Python. To gain skills, you will need lots of practice outside of this class. Good overview. Lots of typos - could use a good proofreading.",4
37,"Python for Data Science, AI & Development by IBM",Alvaro F V,"Nov 12, 2018","The course covers the content taught in a very superficial manner. 
I do not think that after completing this course anyone is able to use python for anything really. The course does do a decent job of introducing you to the very basic principles. It simply was not what I expected. 
The time estimates are way inflated. This course can be completed in 1 week. 
The final assignment is not at all challenging. The course makers provide the code that does the hard part. 
The final assignment's instructions are outdated (screenshots are), unclear and could defenitely be polished for clarity. It's evident that the course makers have not QAed their course recently at all. ",2
38,"Python for Data Science, AI & Development by IBM",Damir G,"Nov 28, 2020","It was very hard for me to follow as I have near to zero programming experience.  It's a problem with all Python courses for beginners, on all platforms, it's not for complete beginners really, you need to have the basics of programming prior to that as the instructors in the videos and training materials operate with the terms  and concepts that are very hard to understand for non-programmers.  The weeks 3 and 4 are especially hard to understand as the complexity of the new terms gets sharply a lot harder to understand, and a lot of spelling and grammar mistakes also give an impression that the authors didn't really review the material before posting it.",2
39,"Python for Data Science, AI & Development by IBM",Antonio P,"Feb 23, 2019","This is a terrific course. I would have wanted to give it five stars, the only issue is that some of the videos had incorrect examples. ",4
40,"Python for Data Science, AI & Development by IBM",Abigail J,"Sep 22, 2019","Not a beginner's class but a sufficient survey/review of Python for people who have seen it before. Much like some language classes will prepare you to read French but not to speak French, this course will probably prepare you to read Python programs but you won't be sufficiently prepared to write your own. Does not provide opportunities for meaningful practice. 
The instructions in the videos are often vague or misleading (especially with naming of variables) and there were several instances where I (an ""advanced beginner"", generously) had to de-bug the examples and instructions in the Labs to get them to work.
IBM was clearly sloppy when they put together this course, and that is reflected in the quality of the learning you'll obtain. Again, a fine generalist's overview but will not prepare you to use Python in a meaningful way.",3
41,"Python for Data Science, AI & Development by IBM",Mya S,"May 20, 2019","I learned a fair amount in this course. It was a good anchor with which to start learning Python. However, I don't know if I can recommend this course in its current form. There were so many typos that they rendered the 'correct' answers for some test questions incorrect, and I'm left wondering what wrong answer to choose from. The instructions for the final project were so unclear that I ended up having to do several workarounds -- including setting up a whole new IBM Cloud account, as well as going to Stack Overflow and YouTube to find solutions. After the typos and the poor instructions are fixed, then I would rec",3
42,"Python for Data Science, AI & Development by IBM",Andres F,"Feb 15, 2021","Some exercises in the Labs are definitely not for beginners, especially during week 3 and 4. The course does not give you enough resources to be able to resolve those exercises and only gives you the answer, which is rather advanced and involves knowledge from outside this course.
Apart from that, the course is fine, but that experience might be a bit disappointing for someone who is just starting with Python. ",3
43,"Python for Data Science, AI & Development by IBM",Jasmine H,"Sep 2, 2021","Instructor responses (and lack thereof) leave a lot to be desired - Seems like a lot of people have the same issue in week 5 that hasn't been addressed. This course also frequently presents code that accomplishes a task without explaining *why* the code accomplishes a task, and will introduce a term without explaining it (ie throwing ""parse engine"" into the mix with no explanation). Additionally, the lessons are very content-dense, but quizzes are both remarkably short and very far apart, meaning they cover very little information. The final exam contained no feedback regarding which answer is correct if you answer incorrectly, which is frustrating as it deprives you of a final learning experience. Overall I would not recommend this course and would recommend an in-person, or at least real-instructor-led, experience for this topic. ",2
44,"Python for Data Science, AI & Development by IBM",Andrew O,"Dec 30, 2018","Honestly this course isnt very good. Lightning quick wizz through Python and the final test was barely related to the learning materials. The process of test submission is very poor. 
I think this course overall reflects badly on IBM.",2
45,"Python for Data Science, AI & Development by IBM",Hakki K,"Jul 9, 2020","Hi,
I completed entire program and received the Professional Certificate. On the Coursera link of my certificate ""3 weeks of study, 2-3 hours/week average per course"" is written. This information is not correct at all, it takes approximately 3 times of that time on average! I informed Coursera about it but no correction was made. It should be corrected with ""it takes approximately 19 hours study per course"" or ""Approx. 10 months to complete Suggested 4 hours/week for the Professional Certificate"".
Here is the approximate duration for each course can be found one by one clicking the webpages of the courses in the professional certificate webpage: (*)
Course 1: approximately 9 hours to complete
Course 2: approximately 16 hours to complete
Course 3: approximately 9 hours to complete
Course 4: approximately 22 hours to complete
Course 5: approximately 14 hours to complete
Course 6: approximately 16 hours to complete
Course 7: approximately 16 hours to complete
Course 8: approximately 20 hours to complete
Course 9: approximately 47 hours to complete
This makes in total approximately 169 hours to complete the Professional Certificate. As there are 9 courses, each course takes approximately 19 hours (=169/9) to complete.
(*):  https://www.coursera.org/professional-certificates/ibm-data-science?utm_source=gg&utm_medium=sem&campaignid=1876641588&utm_content=10-IBM-Data-Science-US&adgroupid=70740725700&device=c&keyword=ibm%20data%20science%20professional%20certificate%20coursera&matchtype=b&network=g&devicemodel=&adpostion=&creativeid=347453133242&hide_mobile_promo&gclid=Cj0KCQjw0Mb3BRCaARIsAPSNGpWPrZDik6-Ne30To7vg20jGReHOKi4AbvstRfSbFxqA-6ZMrPn1gDAaAiMGEALw_wcB ",1
46,"Python for Data Science, AI & Development by IBM",Caylee D,"Dec 13, 2019",All the basics for Data Science with Python. You wont be a master programmer after this class but you will understand the basics and computer logic in regards to data handling and cloud management.,5
47,"Python for Data Science, AI & Development by IBM",Juan P D,"Mar 7, 2019","the final assingment is somewhat tricky, but it's ok",5
48,"Python for Data Science, AI & Development by IBM",Julio E L C,"Mar 2, 2019",From zero knowledge to a good knowledge on Python. ,5
49,"Python for Data Science, AI & Development by IBM",Pritam K,"Mar 5, 2019",Some explanations were not so understandable and there were mistakes in some examples of the explanations ,4
50,"Python for Data Science, AI & Development by IBM",Mahmood H,"Mar 11, 2019","The videos are quick, had to keep rewinding to grasp at the details. A slower pace would help beginners.",4
51,"Python for Data Science, AI & Development by IBM",Maximilian M M,"Apr 9, 2021","I wanna be completely honest with this course: 
To me prerequisites: 
I'm a coding beginner. Had some classes in University about programming with C and Java but just learned basic concepts like what are functions. 
The course first gave me some really interesting insights. The Videos are super helpful and also the first two weeks of exercises were really helpful. 
But as I moved further, the exercises got super hard. At least for coding beginners. Personally from week 3 on it just felt like that they don'T really wanna teach you coding but just showing you how it's done. For example they show you how you can Webscrape or convert dictonairies to lists but you can't really code them by yourself. The most frequend command I executed was running the code already in the cells. 
When you are a beginner: Try to learn python with another course or source. You will get super frustrated with this course. If you are familar with other langauges or python it will be easy I think. ",3
52,"Python for Data Science, AI & Development by IBM",Samantha R,"Mar 14, 2019","The course was informative with useful elements to use
However the final assignment had nothing to do with the whole course. the labs were just touching on the code and I expected the final assignment to put everything into practice. The instructions also not clear in the assignment - I got more help off the discussion forums else I would have never completed the final tasks",3
53,"Python for Data Science, AI & Development by IBM",Michael R J,"Mar 14, 2023","This class taught me almost nothing without even the professor taking part in any of the videos.  How am I supposed to know if the professor actually cares about teaching this course that he didn't even do the videos about?  There were obvious errors throughout that I know are true because I have years of computer science & programming experience.  I got nothing out of this course until Week 4 when it had an interesting take on open(, pandas & NumPy.  The last 2 Weeks are good enough for me to go back over to make it so I can get the most out of the money the company I work for paid for this course.  Hopefully what I learn in the last 2 week segments will make it so I will actually learn pieces that I will not just learn better from some textbook or searching the web to go to places like GeeksforGeeks.
My apologies for the negativity, but I just want everyone to know, if you have computer science or Python experience, it's probably best spending time on a textbook that is well used throughout different universities or areas.
It's not like the course isn't possible to get something out of, I'm just expressing my opinion of what I got from it.  If you really want to spend money on a course that has a teacher that doesn't care enough to make the videos him or herself in the course...I wouldn't recommend it, just because of the caring aspect.  Once again my opinion, take it as you will.",1
54,"Python for Data Science, AI & Development by IBM",Martin A C,"Feb 20, 2023","Extremely simple and fundamental, obviously aimed at people who know practically nothing about programming. The problem is that the best way to learn to program is by programming, which is not encouraged here. Analogy: Here they teach you the theory of how to swim but they only let you enter the pool for 5 minutes. Not recommended for truly learning to code (2 STARs)

EDIT: 1 STAR
Many typos and math errors. Unforgivable",1
55,"Python for Data Science, AI & Development by IBM",Cristina A,"Apr 12, 2019","The final assignment was not well explained, was hard to follow and the previous material in class was not intuitive to the task.",1
56,"Python for Data Science, AI & Development by IBM",Kavish J,"Oct 31, 2020","yeah , slightly the worst teaching skills",1
57,"Python for Data Science, AI & Development by IBM",Sergio S S,"Dec 31, 2018","I had done other Python introductory courses and this one was excellent, if not the best, very clear and well organized, a pity that the final assignment is somewhat chaotic, too easy and outdated. They should take care of the final works as a way to give additional value to the work we do when studying it.",5
58,"Python for Data Science, AI & Development by IBM",Mustafa E A,"Jul 30, 2021","Great course!  
easily accessible online Labs for immediate practice. No need to waste time dealing with the
issues that come up when downloading, installing & setting up a development
environment.",5
59,"Python for Data Science, AI & Development by IBM",Allen C,"Jan 6, 2024","It was ultimately a helpful course, but had typos, errors, and grammatical mistakes.  The exercises were helpful, but it seemed each one was created by a different person, and the quality varied considerably.  I ended up using ChatGPT frequently to clarify things further.  Helpful, but could use some polishing.",4
60,"Python for Data Science, AI & Development by IBM",Micaël O,"Feb 18, 2019",Good course for beginners but not very detailed,4
61,"Python for Data Science, AI & Development by IBM",Urs H,"Mar 5, 2019","Content OK, some errors on the video slides.",4
62,"Python for Data Science, AI & Development by IBM",Lena N,"Sep 9, 2018","I had some programming knowledge (C++, matlab) when I begun this course. It was easy to complete but I tried to make it more challenging by paying extra attention to the details. The questions that popped up while watching the videos were good at making it somewhat interactive. The quizzes were maybe too easy (most of them had only three questions per quiz). I found the labs very helpful, could use some more practice exercises. It felt like a self-paced course, I would like it if the instructors were more involved in the forums and the grading. Basically, the questions at the forums were answered by fellow students (if someone could help) and also the grading was exclusively by peer-grading. All in all you can gain from the course by putting some personal effort..it also makes it easy to just browse through the questions and get a completed mark nonetheless.",3
63,"Python for Data Science, AI & Development by IBM",Syed I B S A,"May 22, 2021","There were a few things I really struggled with on this course. Firstly I am a reader, not so good with the videos. So it would have been much easier for me to follow if there were clearer reference material rather than mainly videos. I learnt nearly exclusively off the pynb, but I noticed quite a few of the questions specifically asked about the videos. Secondly, more explanations as to why we are doing something, maybe make it more task oriented. i.e., We are looking for this, this is how you would go about finding it, etc. I didn't understand most of the time why I was performing a task or why this was shown to me. Lastly, it would have been much easier to follow if it would explain what every step, code, function etc was explained. I really struggled with week 5 because I could not understand what each step was meant to produce.",3
64,"Python for Data Science, AI & Development by IBM",Brenda B M,"Mar 13, 2019","The illustrations were excellent, the pauses for quizzes were abrupt and disturbing, the Fake album cover was not relevant to any business use I would have, and the materials were out of order in the listing.  I eventually and painfully figured out a solution using a function I created from the clues I had at hand.
The 2D NumPy quiz was a mystery to me.  Too much material was presented all at once and I probably confused some concepts in 2D.  I have never used matrix math before...",3
65,"Python for Data Science, AI & Development by IBM",Julia B,"Feb 10, 2019","Not the best course imo: almost no relevant exercises, there are visible small mistakes and formatting errors present. It seems, that authors didn't put too much effort to make the course to be of really high standard. It's good if you need to get a certificate in this field quickly but don't expect to obtain much of knowledge.",3
66,"Python for Data Science, AI & Development by IBM",Sasikanth I,"Feb 5, 2020",It might give you all the things that you need for programming in AI and data science but dosent give enough practice to make you feel comfortable with what they teach. They could give few assignments to better the course instead of rushing which overloads the information to be understood and remembered,3
67,"Python for Data Science, AI & Development by IBM",Jarrod W,"May 11, 2019",Honestly I found the course great but found the last assignment really hard. I legit had to use the Discussion board to help me do this assignment an even then i have no clue what I am doing. The instructions were really vague and wasn't pointed to being a complete beginner.,3
68,"Python for Data Science, AI & Development by IBM",Shawn G,"May 12, 2020","The content was good, but as with most online programming courses, there simply are not enough coding exercises to effectively retain the knowledge long term. ",3
69,"Python for Data Science, AI & Development by IBM",Jeffrey G D,"Apr 9, 2019",There were some errors in the notebook code and some of the video quizes asked questions about things that hadn't been covered yet.,3
70,"Python for Data Science, AI & Development by IBM",Samir S,"Feb 15, 2019",Final exam poorly designed and written. Frustrating experience trying to find solutions. Needs a rethink and more structure. ,3
71,"Python for Data Science, AI & Development by IBM",Ahmed H,"Apr 19, 2019",the questions given in the final project are not covered by the course materials ,3
72,"Python for Data Science, AI & Development by IBM",Emily N,"Oct 29, 2020","The course is super frustrating, the robot voice for the videos makes it so difficult to digest the information, the cadence and focus on certain words is completely wrong, so it makes it so hard to understand, especially when introducing new terms. Given that a lot of the information is presented on slides its really tricky to read at your own pace with the correct intonations and also see the code on the video. It seems really lazy to not have a person with subject knowledge read the video material in a much more engaging way (as with all other Coursera courses I've tried) - this would make the material much easier to engage with and less like I've just installed a text to voice reader on a wikipedia page. 
I also think some more real life application based would make it much easier to engage with the material - when I've looked at other courses (e.g. Khan academy, codeacademy, they at least explain 'for loops can be applied for example in XXX'. The labs are good, but the videos have to be some of the least engaging videos on programming that I have ever come across!!
Also, Also, a lot of terms are introduced without any explanation as to their function. In the videos sometimes terms are just introduced on the screen e.g. '_init_ ' but with no explanation whatsoever as to what this means or when it's used. This is meant to be a beginner course and provide knowledge to apply in a workplace setting going forward, but I find myself constantly googling to get background information on Python code. As an example, I messaged my friend (who is teaches python in a university) who gave a brief explanation to 'init: ""Short for initialise. When you create an object of any type, you either create a real one or a default one. So for the circle example, a default circle could be the unit circle, but you (as a programmer) may want a 5 inch circle so you would use the class constructor to initialise / override the default values"" .
This kind of simple background explanations would go a long way to actually teaching people how to understand what the code is doing, and the background of it and why you use it, so that you are actually more capable of applying this in a future setting. It also helps make the course a lot more human, rather than trying to teach it in a way where you can only remember the code but not actually understand what any of it means or does! 
I'm really disappointed with this course, I hope the other IBM python courses are better!!",2
73,"Python for Data Science, AI & Development by IBM",Hani H,"Mar 16, 2022","It's funny how the last thing we learned about is beautiful soup, because that's exactly how I would describe the course , except for the beautiful part. It's ugly.
First of all the course lacks organization. You learn how to import CSVs in the begining of week four, and how to import JSON files at the end of week 5. Wouldnt it make more sense if the two topics were covered together? and no I did not need to know what a JSON file is before learning how to import it. It's enough to teach me how its structured.
And this philosophy is carried all over the course. It seems like IBM is confusing the forest for the trees. The module working with webscrapping had two vidoes explaining the communication between client and resource, and two other videos on web scrapping itself. IBM, listen to me, teach me practical skills, I can use beatuful soup without understanding how it works under the hood. Spend that time on things that actually matters. 
Okay fine, the course is a mess, but did I learn something useful? yes, but that's thanks to the many tutorials I read/watched on other websites. This course jumps from covering the absolute basics to flashing an advanced concepts and moving on. For example, we learned how to create a simple dataframes, but grouping and aggregation, the stuff that actually matters, was only flashed on the screen for 5 seconds in a video on APIs. How am I supposed to do analysis without learning about aggregation? Well thanks to youtube I can. If this course is useful for anything its to point you to the right direction. Self study is essential.
The lab sessions are borderline useless, 90% of the exercises are super basic and were covered in the lectures, but are these any example datasets to work on? is there a multi step analysis to complete? are there any problems that go beyond creating a smile 1 line of code? not really. That's up to you to do on your own. 
I'm comparing this course with the Google Analytics module on R, the difference is night and day. This is simply a low effort attempt. I expected better. ",2
74,"Python for Data Science, AI & Development by IBM",Mori H,"Jun 13, 2023","The first two modules where really good. very beginner friendly, but everything after that was way to advanced. I spend a lot of time each day on Coursera so i can learn and practice, but i was stuck on everything after module 2 for almost two weeks and it was so discouraging because i though i was the problem and just wasn't smart enough to learn Python. After looking at the discussion forum though, i realized i wasn't the only one confused and lost from how advanced everything got so quick. this defiantly needs to be looked into and made easier to understand and we need to be taught how to build and form the data correctly. so many new words and codes where introduced too soon when we didn't even understand what each part meant individually. Also, the labs need some work with the spelling and solutions. There where to many times where incorrect spelling in the solutions led me to errors and i would end up giving up on trying to figure out what should be there.  All in All it could have been better. I watch Bro Code on youtube and he teaches a lot of the material taught in this course but simple and beginner friendly so it is possible to simplify this course. ",2
75,"Python for Data Science, AI & Development by IBM",John G,"Mar 10, 2021","I am a beginner in Python. This course covered a lot and I understand a lot more now. However, there were always steps and explanations missing. The labs were basically clear until some of the practice exercises which required a lot of things that were not included in the course. The labs in general, however, were very useful.
As many people wrote, there were so many mistakes in spelling and sometimes even in the code. Shame on IBM for not having someone proofread! Furthermore, this robotic woman never stops and never intonates when something changes on the slides. Presentations were so poor. Were they given to a student as homework to create? I don't have anything against Indians, but did the course really need to be outsourced to India to be created? I am sure that if IBM had run this course with its employees as a trial group, it never would have been released as it is. I'm sure that IBM would not offer this course to its employees. In any case, I am happy that I went through it, but am looking for other courses/resources to actually understand Python.",2
