,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
43,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Felicia D M,"Jun 28, 2023",This is an excellent and compact course for beginner level data analytics! Very recommended!,5
44,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Sanjit D ( - K,"Jun 23, 2021",Excellent and recommendable courses.,5
45,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Sanket C,"Jan 22, 2022",Absolutely AMAZING ,5
46,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Dickson P,"Jun 25, 2017",Awesome course,5
47,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Humberto J,"Sep 8, 2019",Great course!,5
48,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Manoel L C N,"Mar 1, 2018",Great course! ,5
49,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Sagi S,"Dec 11, 2017",Great Course!,5
50,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Mahmoud Z E,"Oct 18, 2020",Very Good ,5
51,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Javier C,"Dec 10, 2019",Muy útil.,5
52,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Jaspreet K,"Nov 15, 2017",Excellent,5
53,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Kiko S,"Nov 9, 2018",Great!!!,5
54,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Pawel S,"Feb 21, 2018",Great ,5
55,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Durgaprasad V,"Jan 4, 2022",Good,5
56,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Onkar N S,"Sep 4, 2020",nice,5
57,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Paula C F,"May 16, 2018",ok,5
58,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Federico D,"Jan 19, 2022",g,5
59,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Gaurav S,"Oct 26, 2022","Thanks for the wonderful course, it is really a wonderful experience to learn from the best in the industry. Few areas which can be further improve- A) More illustration can be given for doing data analysis with examples and short animated video,  B) Actual feedbacks from the trainers/mentors would be more helpful for the candidate to understand the areas needs to be improve. As while going through the review of other candidate, I had found out many candidate not even submit the required project and fake it out.",4
60,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Brijesh G,"Oct 13, 2022","The course is good, but if you are expecting to learn some serious advance skills apart from Power Pivot then this might dissapoint you ! 
And its been sometime since I uploaded my assignment, but no one as peer reviewed it till now! Good luck with that !
Overall, the whole specialisation is good , but can be better",4
61,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Abhishek K,"May 24, 2021","Good content , should focus less on excel and and more on new age technologies.",4
62,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Anastasiia M,"Aug 27, 2019",Good source of practical materials! Thank you for the insights.,4
63,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,sylvester k,"Apr 16, 2020",It was a good experience applying the skills learned.,4
64,Data Analysis and Presentation Skills: the PwC Approach Final Project by PwC,Prasansa D,"Jun 23, 2021",Good,4
65,Build a Data Warehouse Using BigQuery by Starweaver,Dmytro K,"Jan 21, 2024","It's a very good, basic overview of BigQuery. It's not advanced. ",5
66,Data Analysis with Tidyverse by University of Colorado Boulder,Michael G,"Jan 14, 2024","Ich kann hier gerne 5 Sterne geben, denn der Kurs war spannend.
Einige Male habe ich zwar gezweifelt, da mir die Antworten nicht wirklich eingefallen sind aber im Nachhinein hat sich die investierte Zeit gelohnt. ""wie bei jedem Coursera Kurs""",5
67,Data Cleaning in Excel: Techniques to Clean Messy Data by Coursera Project Network,Monise L S E,"Apr 5, 2024",The instructor was very thorough and explained things clearly.,5
68,Data Cleaning in Excel: Techniques to Clean Messy Data by Coursera Project Network,Dr.A. S,"Mar 27, 2023",Great experience. feel good,5
69,Modern Regression Analysis in R by University of Colorado Boulder,Michael B,"Aug 17, 2021",Thorough review of simple linear regression and multiple linear regression with a good bit of well-explained theory and challenging assignments. Highly recommended for those getting their feet wet in regression and for those already familiar with the techniques but need to brush up on the theoretical aspects of it. One of the better courses on Coursera.,5
70,Modern Regression Analysis in R by University of Colorado Boulder,Najib B,"Oct 2, 2021",This course is the best out there for those who want to learn R for regression and the theoretical foundation of regression. Professor Zaharatos explains the meth background needed in a excellent way. My knoweldge of math limited yet I was able to pass most of the assignments. The assignments are very well thought. Some minor problems with the autograded assignments but most of them are manageable after sometime. I highly recommend that course for everyone who making at their mid-way to statistics. ,5
71,Modern Regression Analysis in R by University of Colorado Boulder,Edgar O L C,"Jun 4, 2023","It is a course with some difficulty specially the auto  graded assignments, but if you are really interested to learn about the statistics behind linear regression you will find this course excellent.
Something i did not like is the peer review assignments sometimes they took to much time to be reviewed.",5
72,Modern Regression Analysis in R by University of Colorado Boulder,Derek A K,"May 1, 2024","A lot of work with several peer reviews, but it get you into R for Regression Analysis.  Well laid out course. need knowledge of Linear algrebra for this course.",5
73,Modern Regression Analysis in R by University of Colorado Boulder,Hidetake T,"Sep 25, 2022",The depth of understanding reached more than expected. The best lecture of coursera.,5
74,Modern Regression Analysis in R by University of Colorado Boulder,sina m,"Aug 12, 2022",The best course I ever had in statistics,5
75,Modern Regression Analysis in R by University of Colorado Boulder,Patrick,"Aug 18, 2022",Great instructor!  He explained the material very well.  I didn't get much out of the peer review assignments.  I would prefer more code work or the peer review could be on explaining certain parts of the code output like in the Machine Learning classes.,4
76,Modern Regression Analysis in R by University of Colorado Boulder,Steve W,"Feb 13, 2022",Content and intent is great.  The autograder for assignments is frustrating.,2
77,Modern Regression Analysis in R by University of Colorado Boulder,David S,"Apr 13, 2022","Peer reviews appear to be unreliably completable.  After performing all the work I have not found any way to get 2 of 6 peer reviews completed so I could complete the course.  I am providing 1 star because the lack of ability to receive credit for valid work seems to be ""table stakes"". It is a minimum bar of performance.  Further, this course is a valuable component in the Boulder masters program.  For a ~ $20K it seems that Boulder may be exploiting students. ",1
78,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Koen v d P,"Feb 2, 2022","Quality of the course is underwhelming. The labs only have the description of the activities, not the source files necessary to actually do them yourself. Then there are several technical issues (like external content not loading). All in all I would expect much, much better from a company like Microsoft.",3
79,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Saadiyya R,"Jan 25, 2023","Many mistakes in the exercises. They have all been reported multiple times and being mentioned in the discussion forum for more than a year. No one is taking any action to correct them.
The material is very dry just repeating the written content from the learn.microsoft.com website.",1
80,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Isaac S,"Nov 24, 2022","Good info, but it would have been greatly enhanced with labs you could actually do instead of just read.  Early on, the labs were made in such a way that you could follow along with them(mostly), but they increasingly relied on materials that just didn't exist as their example databases were not available to you.  I don't know why they don't just set up a Git Repo and let the user download the repo into their Azure workspace to get the synapse studio set up and then pull data from wherever they keep it.",2
81,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Gurinder S,"Aug 19, 2023",The entire series for DP-203 needs to be taught by real instructors not actors. The course labs don't make sense. Microsoft have crammed a lot of information with less words. ,1
82,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Arman N,"Mar 20, 2022",great course for being familire with functionality of azure synapse analytics,5
83,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Samy B,"Mar 24, 2023",The exam prep questions are nowhere close to the exam. In this course they say some information and want you to recite them back. In the exam you are actually required to apply your knowledge. ,2
84,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Asma A A Z,"May 4, 2023",amazing course ,5
85,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,JANUDA K,"Feb 19, 2023",999,5
86,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,SAMUEL T F,"Feb 3, 2023",bon cours,4
87,Data Warehousing with Microsoft Azure Synapse Analytics by Microsoft,Vincent C,"Jan 16, 2023","Well organized course, but the lack of hands on activities limits how much knowledge is retained. ",3
88,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,林建亨,"Nov 29, 2021",doesn't match real exam,1
89,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,RAJESH K,"Oct 29, 2022","Hi,
This is the best course on Data Engineering on Microsoft Azure platforms! 
 I sincerely loved this course and I am thankful to all the coursera staff members for putting an incredible course.
This course provided me with the right level of Technical depth and breadth combined with hands on-labs for reinforcing the concepts for implementing the technologies needed for processing big data loads at scale.
Thanks & Regards,
Rajesh K
  ",5
90,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,Isaac S,"Dec 24, 2022","I wish the questions building up to this course had been as well written.  This was a good test of knowledge and makes me feel more confident in my ability to pass the certification, which the other courses in this specialization just didn't do.",5
91,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,alex p,"Sep 23, 2022","Excellent for those who are preparing for DP-203 certification,. Thank You.",5
92,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,Marcus D,"Sep 7, 2022",Good introduction to DP-203,5
93,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,Sada M,"Oct 27, 2022",Great knowledge,5
94,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,Jorge I G P,"Aug 13, 2022","Le falta una mejor plataforma para los laboratorios, el contenido del curso es muy bueno.",3
95,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,Romain L,"Feb 27, 2024","This course effectively summarize the previous courses but is not a good prep for the exam. After going through the actual exam I can say that the questions are quite far from the pretended ""practice exam"" of the course. If you consider passing the Microsoft certif you should find other material online. ",2
96,Prepare for DP-203: Data Engineering on Microsoft Azure Exam by Microsoft,Petteri S,"Oct 13, 2023","Lots of exercises which don’t work anymore, and they are what you should looking for this course.  It’s a shame because course structure and content otherwise is good. ",2
97,Generative AI: Enhance your Data Analytics Career by IBM,Lalita,"Apr 3, 2024","I was glad that I took the course. After the course, I knew which areas related  to the course I should continue to review and to have more hand-on practices.  Will learn Python as next step. A very interesting course!  ",5
98,Generative AI: Enhance your Data Analytics Career by IBM,Anderson A,"May 14, 2024",Amazing,5
99,Applied Social Network Analysis in Python by University of Michigan,Mark G,"Apr 20, 2020","If you are following Dr. Severance's Python course series, expecting a similar experience, be ready for disappointment.  Where Dr. Chuck's series is well-taught in-depth information with great examples and explanations, this course series is basically a summary and the instruction to go out and learn everything yourself from the web.  That's an abysmal way to teach, because for beginners to data science programming, there is no basis to determine which is bad or good information you pick up from a blog or Youtube.  
This class is a perfect example of just that, but worse, because there's an implicit trust in a professor from a university the caliber of Michigan.
The lessons are old, and they won't update them.  The forums are full of bug reports and information about code that works when tested outside the class environment, because the class is taught on networkx version 1.11, which was released in 2016.  I'm writing this in April of 2020, and networkx 2 was released almost 4 years ago, and this class is teaching techniques that no longer work because the code is deprecated.  
In every course in this series, I wasted long hours trying to debug what I was doing wrong in my assignments, only to find out that my code was perfect - today, and the grader was testing my work with functions that are no longer valid.
I know reviews can be biased, especially negative reviews, so please read the forums before enrolling in this course and wasting your money.  The quality of education from this series is very poor, and you are better suited to learning from Youtube (sadly) if you want actual information you can use in your work.
Unless you are looking for an education so that you can go back in time and find a job in 2015, this course is a waste of time and money.",1
100,Applied Social Network Analysis in Python by University of Michigan,Aziz J,"Dec 29, 2017","Going into this course, I was really disappointed that I had to take this course for a Data Science Specialization because at a skin-deep level it seemed very irrelevant, and frankly I was at that state of mind until week 4 of this course. 
There are several reasons why I'm rating this course 2 out of 5 stars: 
1) The content of the first three weeks were just informational and should have been covered in one or two weeks.
2) Homework assignments were not challenging at all. 90% of the questions were one-liners and required simply calling the methods of networkx that was discussed. This course would benefit by homework assignments that had 1-2 problems that required us to solve real-life problems from scratch, rather than ONLY calling networkx methods. 
3) There was no discussion on how to get network data. We were just given all this magical data about how relationship scores between employees and future connections between employees... How am I supposed to get that in real life?? Some problems asking us to make a network would've been valuable.
 4) More time should have been spent on prediction and other advanced topics, at least another week to bring the ""Applied"" into ""Applied Social Network Analysis.""
5) I really enjoyed the professor's teaching style. He explained concepts well and had great examples during lectures. ",2
101,Applied Social Network Analysis in Python by University of Michigan,Oliverio J S J,"Feb 26, 2018","This course is a good introduction to graph theory. Its contents are interesting and the lecturer did a great job explaining them. So, what is the problem? The problem is that the course is not called ""Applied Graph Analysis in Python"" but ""Applied Social Network Analysis in Python"". This incongruity in the title of the course (intentional or not) will generate erroneous expectations in the students, especially if we consider that they have to take the course to finish the specialization. Regarding the assignments, they are divided into two groups: trivial tasks that are solved with a single line of code extracted from the NetworkX manual and more complex tasks related to Machine Learning that do not involve putting into practice the concepts of this course but those of the third course of the specialization. I regret being so tough, but my impression on this course is that it is filler content designed just to have a five course specialization instead of four.",1
102,Applied Social Network Analysis in Python by University of Michigan,Luis d l O,"Mar 2, 2018","The lectures are good. However, the assignments are poor: very simple exercises with toy examples, but far away from real applications. Moreover, I spent most of the time (particularly in the last assignment) trying to deal with the autograder. ",1
103,Applied Social Network Analysis in Python by University of Michigan,Ryan D,"Aug 11, 2019","The specialization for Applied Data science started strong, with engaging exercises, good instruction, and good recommendations for additional reading and resources. As the specialization continued, the courses seemed to get ""lazy"", and the course topics became more abstract and less applied.
After going through this specialization, I would not recommend this to someone if I could find a better program through edX or another coursera offering. ",2
104,Applied Social Network Analysis in Python by University of Michigan,Kevin c,"Aug 15, 2019","For a coding heavy course, why doesn't the instructor just upload the code used in slides as a Jupyter Notebook? This would save A LOT OF TIME and frustration. Right now, I have to pause the video to copy the code AND write my own notes and it wastes so much time. Not to mention, you can easily be prone to writing wrong syntax when you're trying to keep up so fast, and then you run the code chunk and it doesn't work and you have to go back to that point in the video. It's a simple staple that I would have expected in a UMich course. Also, they don't show how to create networks from pre-existing data, which is how you will usually work in the real-world",2
105,Applied Social Network Analysis in Python by University of Michigan,David M,"Nov 16, 2018","This is hands down the best taught course in the speciality. The instructor explains concepts in the videos clearly and the assignment questions are structured and interesting. Do note that the assignment in week 4 does pull together the whole specialisation in a real world problem, so if you aren't taking the whole speciality you will need a knowledge of Pandas and SKLearn. Personally I thought it was pitched at just the right level because the ML work is just enough to have to go through the process, without any complicated feature optimisation.
Only wish the other courses worked as well as this one.",5
106,Applied Social Network Analysis in Python by University of Michigan,Jingting L,"Sep 25, 2018",It was an easy introductory course that is well structured and well explained.  Took me roughly a weekend and I thoroughly enjoyed it.  Hope the professor follows up with more advanced material.,5
107,Applied Social Network Analysis in Python by University of Michigan,Daniel W,"Feb 20, 2019","Great course, maybe even the best on this great specialization!",5
108,Applied Social Network Analysis in Python by University of Michigan,XU D,"Oct 13, 2017",The assignment auto grader was horribly designed.,2
109,Applied Social Network Analysis in Python by University of Michigan,Siddharth S,"Jun 14, 2018","The Course Deserves 5 Stars BUTThe fundamental flaw that felt absent in the last two courses of the specialisation was the in lecture Jupyter Notebook Demonstrations, it really helped the students feel in sync with the mentors.Please correct the same all the 5 courses of this specialisation deserve 5 starts :)",3
110,Applied Social Network Analysis in Python by University of Michigan,Philipp A R,"Apr 7, 2020","I think that assignments 1-3 were too basic; often, you only had to return a simple function which outputs a specific network metric. Assignment 4 was a lot better, as it comprised the necessity to apply knowledge from previous courses. The instructor did a good job explaining the different concepts!",3
111,Applied Social Network Analysis in Python by University of Michigan,Nitin K,"May 3, 2019",This course is a excellent introduction to social network analysis. Learnt a lot about how social network works. Anyone learning Machine Learning and AI should definitely take this course. It's good. ,5
112,Applied Social Network Analysis in Python by University of Michigan,Christos G,"Sep 18, 2017","Excellent tour through the basic terminology and key metrics of Graphs, with a lot of help from the networkX library that simplifies many, otherwise tough, tasks, calculations and processes.",5
113,Applied Social Network Analysis in Python by University of Michigan,Brian L,"Apr 18, 2018",Really enjoyed the mathematical component of this course. It was fun to see how you could connect the graph theoretical components to the machine learning concepts from earlier courses.,5
114,Applied Social Network Analysis in Python by University of Michigan,Wei W,"Dec 10, 2018",This is by far my favorite Coursera course - well organized contents and intuitive example!,5
115,Applied Social Network Analysis in Python by University of Michigan,Cathryn S,"Sep 12, 2020","Maybe I was getting used to the grader, and getting better at Python, but I found this the least frustrating of the specialisation, with a lot less time wasted on grader issues and the like.
Its a good general introduction to the theory, with some good exercises which combine network analysis and machine learning.
Like all of these classes, it is getting a little long in the tooth (2016, so a good four years old now, in a very fastmoving field), and it would be nice if it was updated a little, but given that its basic stuff, it is still very relevant.
It would also have been nice to have had a challenging, bring it all together, project at the end of this, but I guess its my job to find one now!",4
116,Applied Social Network Analysis in Python by University of Michigan,Juha S,"Feb 21, 2021","Well made intro to networkx library and some basic graph concepts.
It seems that course material has been done 3 years ago, and has not been touched since. The age is showing bit. For example autograder has small issues which could be fixed to remove lot of frustration and extra work from the studet
For example sometimes when returning pandas Series, the autograder requires that it doesn't have a name, but the autograders feedback doesn't give any indication about this. Minus one star because of these. All the courses in Applied Social Network Analysis in Python by University of Michican has this same issue.",4
117,Applied Social Network Analysis in Python by University of Michigan,Mark H,"Feb 8, 2018","I liked the lecturer and the tempo of the lectures, but this course felt a little light compared to the others in the specialization. The quizes were also good. But for me the course was a bit off topic. Given that, the various skills I learned in the other courses did come together in the final programming assignment. As a stand alone course I would give it four stars, but it gets three because it's required for the data science specialization.",3
118,Applied Social Network Analysis in Python by University of Michigan,Ahmad H S,"Aug 5, 2019",it is good but we are looking  for more real practices ,3
119,Applied Social Network Analysis in Python by University of Michigan,JUAN M C T,"Nov 1, 2022","Negatives: A LOT of poorly explained theory and not many exercises. Many mistakes in the slides and codes, and you needed to find the solutions in the discussions. The Autograder was a bit annoying because sometimes you'd spend 20% of the time getting the right solution to the questions and 80% fitting it so the Autograder would understand it. I had to look for Youtube explanations to do the assignments and quizzes because based on what was explained I either didn't understand it or simply couldn't find it in the source material.
Positives: You get a certificate from the University of Michigan.",1
120,Applied Social Network Analysis in Python by University of Michigan,Hiroki T,"Mar 26, 2021","Python and related libs are SUPER old. Some important codes used in this specialization were duplicated and you cannot get enough explanations even on Google. Moreover, auto-graders have lots of problems. I finished this specialization but I cannot recommend this.",1
